小区名称,户型,面积,区域,楼层,朝向,单价（平方米）Y,建筑时间
凯欣豪园,2室2厅,118.06,长宁,低区/38层,朝东南,114348,
巴黎花园,2室2厅,119.04,长宁,中区/10层,朝南北,71404,
新衡公寓,2室2厅,114.81,长宁,高区/18层,朝东南,65325,
天山五村（旧）,2室1厅,49.71,长宁,中区/6层,朝南北,73627,1982年建
巴黎花园,3室2厅,189.69,长宁,低区/13层,朝南北,63261,
太阳广场,2室2厅,150.99,长宁,高区/29层,朝东北,41989,
中山公寓,1室2厅,105.96,长宁,低区/28层,朝南北,75500,
长源小区,2室1厅,70.51,长宁,低区/6层,朝南,79137,1995年建
长宁路234弄,1室1厅,51.61,长宁,高区/6层,朝南,67816,1987年建
虹桥世家花园（公寓）,3室2厅,153.5,长宁,低区/18层,朝南北,65146,
仁恒河滨花园,4室2厅,216.54,长宁,高区/30层,朝南,96979,
东方剑桥,2室2厅,102.16,长宁,中区/36层,朝南北,97885,
五环大楼,1室1厅,55.67,长宁,高区/21层,朝南,59277,1993年建
虹纺小区,2室1厅,56,长宁,低区/6层,朝南,66071,1987年建
友谊小区,1室0厅,31,长宁,低区/6层,朝南,77419,1983年建
广顺小区,1室1厅,53.72,长宁,中区/6层,,57706,1998年建
虹东小区,1室1厅,57,长宁,中区/25层,朝南,70000,1990年建
玉屏南路520弄,2室1厅,51.51,长宁,中区/6层,朝南,73577,1987年建
宁锦小区,1室1厅,40.09,长宁,中区/7层,朝南,69343,1997年建
海逸公寓,3室2厅,141.28,长宁,低区/18层,,84937,2005年建
天山西路199弄,2室2厅,100.03,长宁,中区/7层,朝南北,64980,1997年建
茅台新苑,2室1厅,69.94,长宁,高区/24层,朝,66914,
杜家宅小区,1室1厅,35.21,长宁,低区/6层,朝南,69582,1985年建
新泾一村,1室1厅,41.06,长宁,低区/6层,朝南,62104,1994年建
天台家园,2室2厅,93.57,长宁,高区/12层,朝南,73741,2003年建
天山五村（新）,2室1厅,47.38,长宁,高区/6层,朝南,69649,1982年建
金鹿公寓,3室2厅,95,长宁,中区/8层,朝南北,74736,1993年建
虹康花苑,2室2厅,86.09,长宁,低区/5层,朝南北,75502,1999年建
天山河畔花园,2室2厅,104.49,长宁,低区/29层,朝南,88046,
法华镇路720弄,1室0厅,26.09,长宁,低区/6层,朝南,107320,1987年建
新衡公寓,2室1厅,107.05,长宁,中区/18层,朝西南,70060,
新衡公寓,2室2厅,107.05,长宁,中区/18层,朝西南,72863,
遵义小区,1室0厅,35,长宁,中区/4层,朝南,65714,1957年建
马赛花园,3室2厅,170.26,长宁,低区/17层,朝南北,65781,1996年建
利星国际广场,3室2厅,139.04,长宁,高区/35层,朝南,79833,
中山元一新苑,3室2厅,140.15,长宁,中区/8层,朝南北,89903,
皇朝别墅,2室2厅,116.23,长宁,中区/4层,朝南北,65387,1997年建
东湖名苑,2室2厅,103.18,长宁,中区/30层,朝南,82380,
古北瑞仕花园,2室2厅,119.49,长宁,高区/28层,朝南,100426,
长乐大厦（长宁）,2室1厅,82.2,长宁,低区/18层,朝南,72992,1991年建
长乐大厦（长宁）,1室1厅,58.32,长宁,低区/18层,朝南,66872,1991年建
华山花苑,1室1厅,54.81,长宁,高区/24层,朝东南,78452,1995年建
田渡小区,3室1厅,76,长宁,高区/6层,朝南北,78947,1996年建
恒力苑,2室2厅,98.06,长宁,中区/12层,朝南北,92800,
虹康花苑,2室2厅,97.33,长宁,高区/11层,朝南北,75516,1999年建
虹桥万博花园,2室2厅,111.48,长宁,高区/24层,朝南北,82526,
延北小区,2室1厅,50.54,长宁,中区/5层,朝南北,65294,1993年建
南辉小区,2室0厅,47.17,长宁,中区/7层,朝南,108119,1996年建
虹梅花苑,2室1厅,67.13,长宁,低区/6层,朝南北,64054,1994年建
中银淮海苑,3室2厅,112.54,长宁,低区/24层,朝南北,72862,
华秀小区,1室1厅,43.88,长宁,低区/7层,朝南,68368,
上海花城,4室2厅,153.6,长宁,低区/18层,朝南北,70182,
领尚国际酒店公寓,1室1厅,50.97,长宁,中区/21层,朝南,44143,2003年建
天山新苑,2室2厅,97.95,长宁,高区/8层,朝南,80653,
天山河畔花园,3室2厅,142.15,长宁,中区/29层,朝南北,84417,
虹桥豪苑,3室2厅,169.61,长宁,高区/37层,朝南北,84311,
东镇小区,2室1厅,78.48,长宁,中区/25层,朝东,82823,
天山路820弄,1室1厅,37.39,长宁,中区/5层,朝南北,80235,1982年建
法华镇路878弄,1室0厅,32.9,长宁,低区/6层,朝北,72948,1987年建
新华世纪园,3室2厅,154.14,长宁,中区/18层,朝南北,89528,
福安小区,1室0厅,34.48,长宁,低区/6层,朝南,100058,1987年建
利星国际广场,3室2厅,130.13,长宁,低区/9层,朝南北,84530,
瑞冬小区,1室1厅,44.63,长宁,高区/6层,朝南,60945,1994年建
恒力公寓,4室2厅,199.62,长宁,中区/18层,朝南,90171,
虹桥豪苑,2室2厅,107.61,长宁,高区/37层,朝南,107610,
通协小区,2室2厅,76,长宁,高区/6层,朝南,63157,2005年建
协合花苑,3室1厅,108.57,长宁,高区/6层,朝南,60790,1996年建
虹桥机场新村,2室1厅,63.01,长宁,中区/6层,朝南,53166,1988年建
畅园,2室2厅,133.77,长宁,高区/38层,朝南北,97181,
荣轩,3室2厅,146.9,长宁,中区/30层,朝南,81688,
虹桥机场新村,2室1厅,69.46,长宁,低区/6层,朝南北,54707,1989年建
威宁小区,2室1厅,58.78,长宁,高区/6层,朝南北,62946,1990年建
广顺小区,1室1厅,53.72,长宁,中区/6层,朝南,57706,1998年建
武夷路450弄,1室1厅,42.7,长宁,高区/6层,朝南,67915,1987年建
武定西路1371弄,1室1厅,32.2,长宁,高区/6层,朝南,77639,1987年建
绿地公寓（长宁）,1室1厅,45.23,长宁,中区/5层,朝南,77382,1998年建
古北中央花园,4室3厅,360.92,长宁,中区/17层,朝南北,101130,
颐德名苑,2室2厅,104.85,长宁,中区/18层,朝南,82021,
西郊家园（长宁）,2室2厅,149.42,长宁,高区/15层,朝南,50194,
法华镇路588弄,2室0厅,48.38,长宁,中区/6层,朝南北,76477,1981年建
虹桥豪苑,3室2厅,154.88,长宁,高区/39层,朝南北,95557,
虹桥豪苑,3室2厅,176.22,长宁,高区/37层,朝南北,87958,
新华路445弄,2室0厅,54.41,长宁,中区/5层,朝南,74986,1964年建
圣约翰名邸,2室2厅,113.04,长宁,中区/32层,朝南,88464,
天山河畔花园,2室2厅,101.58,长宁,中区/26层,朝南,91553,
虹日小区,1室1厅,38.72,长宁,低区/6层,朝南,67665,1986年建
武夷花园,3室2厅,132.32,长宁,中区/18层,朝南,83131,
仙城小区,2室1厅,66.65,长宁,中区/6层,朝南北,64516,1994年建
虹一小区,2室0厅,43.93,长宁,高区/6层,朝南,68290,1979年建
昭化东路77弄,3室1厅,62.31,长宁,中区/5层,朝南,101107,1982年建
绿园一村,1室2厅,52.33,长宁,高区/6层,朝南,60194,1997年建
兆丰大厦,3室2厅,156.5,长宁,高区/24层,朝南,61341,1993年建
遵义路700号,1室0厅,30.82,长宁,低区/7层,朝东,64892,1989年建
定威小区,2室1厅,79.56,长宁,高区/6层,朝南,62845,1999年建
天原二村,3室0厅,66.21,长宁,中区/4层,朝南北,68720,1962年建
虹欣小区,1室1厅,39.42,长宁,高区/6层,朝南,67224,1985年建
大桥小区,2室1厅,63,长宁,高区/7层,朝南北,62698,1988年建
维多利亚（公寓）,3室2厅,178.22,长宁,低区/23层,朝西北,64975,
泰安路125弄,2室1厅,51.96,长宁,高区/6层,朝南,100076,1994年建
清池苑,2室1厅,77.15,长宁,中区/6层,朝南,61568,1995年建
新泾八村,1室1厅,59.16,长宁,中区/13层,朝南,61697,1995年建
北汪小区,2室1厅,82.32,长宁,高区/6层,朝南北,80174,1994年建
淞虹公寓,3室1厅,101.21,长宁,低区/6层,朝南,68175,1998年建
延武机电大楼,1室1厅,46.41,长宁,中区/22层,朝,81878,1990年建
纺大小区,3室1厅,74.14,长宁,高区/6层,朝南北,62719,1981年建
虹桥美爵酒店,1室1厅,59.94,长宁,高区/28层,朝南,43043,2006年建
碧夏小区,2室1厅,65.35,长宁,中区/6层,朝南,70390,
东方剑桥,2室2厅,138.75,长宁,低区/36层,,99459,
法华镇路720弄,2室1厅,61.24,长宁,高区/6层,朝南,70215,1987年建
利西路125弄,4室3厅,200.4,长宁,低区/5层,朝南,52395,1988年建
欣怡小区,1室1厅,38.06,长宁,高区/6层,朝北,69626,1990年建
新华世纪园,3室2厅,146.32,长宁,高区/18层,朝南北,88846,
番禺大厦,2室1厅,80.88,长宁,低区/29层,朝东,63674,
今日丽园,2室2厅,102.34,长宁,低区/29层,朝南,87942,
友联大楼,1室1厅,45.58,长宁,低区/18层,朝南,70206,1990年建
爱都公寓,3室2厅,128.37,长宁,低区/8层,朝南,62319,
古北路371弄,1室1厅,45.97,长宁,高区/6层,朝南,63084,1993年建
安龙小区,3室2厅,105.69,长宁,低区/6层,朝南,61500,1998年建
茅台东苑,2室1厅,59.57,长宁,低区/6层,朝南,73862,1990年建
长宁路1600弄,2室1厅,53.7,长宁,中区/7层,朝南北,61452,1990年建
虹桥河滨花园,4室2厅,231.54,长宁,中区/35层,朝南,82059,
虹南小区,2室0厅,53.44,长宁,高区/6层,朝南,65494,1991年建
虹桥向日葵公寓,2室2厅,111.8,长宁,低区/27层,朝南,71556,
定西路1235弄,2室0厅,49.46,长宁,高区/6层,朝南北,76829,1982年建
延武机电大楼,2室1厅,66.72,长宁,高区/22层,朝南,79436,1990年建
金钟小区,2室0厅,45.38,长宁,高区/7层,朝南北,49581,1995年建
仙蓉花苑,2室1厅,98.16,长宁,低区/14层,朝南,62143,1990年建
通协小区,3室2厅,125.42,长宁,高区/6层,朝南北,58204,2005年建
恒力公寓,3室2厅,199.62,长宁,低区/18层,朝南北,70133,
上城Uptown,3室2厅,174.64,长宁,低区/13层,朝南北,65849,
天山公寓,2室2厅,111.07,长宁,中区/17层,朝南北,74727,1999年建
东方金门花园,1室1厅,42.8,长宁,低区/35层,朝西北,95794,
王子公寓,3室2厅,139.55,长宁,中区/8层,朝南,69365,1997年建
华山嘉苑,3室2厅,149.1,长宁,中区/26层,朝南北,100603,
尚泰里,2室2厅,87.35,长宁,高区/29层,朝西北,80137,1997年建
法华苑,3室2厅,152.02,长宁,中区/26层,朝南,85515,
杨宅小区,2室1厅,66.52,长宁,低区/6层,朝南,67648,1986年建
虹仙小区,1室0厅,36.91,长宁,高区/6层,朝南,69086,1990年建
龙柏花苑（公寓）,4室2厅,252.23,长宁,中区/13层,朝南,59469,2002年建
威宁花苑,3室2厅,133.48,长宁,中区/5层,朝南,71171,2001年建
长芝大厦,2室2厅,105.75,长宁,低区/28层,朝南,64302,1998年建
化纤小区,1室2厅,48.78,长宁,低区/7层,朝东南,67650,
茅台雅苑,2室1厅,73.4,长宁,低区/24层,朝南北,68119,1992年建
嘉里华庭,3室2厅,145.98,长宁,中区/38层,朝东南,123304,
嘉里华庭,3室2厅,145.98,长宁,低区/38层,朝东南,113029,
兆丰嘉园,3室2厅,163.48,长宁,低区/34层,朝南,100318,2004年建
宏业花园,4室2厅,138.75,长宁,低区/1层,朝南北,199639,
化工小区（长宁）,2室1厅,38.51,长宁,高区/6层,朝南北,84393,1985年建
颐德名苑,3室2厅,228.74,长宁,低区/15层,朝南,63390,
虹桥美爵酒店,1室1厅,49.82,长宁,低区/28层,朝西南,39140,2006年建
三泾南宅,3室0厅,63.47,长宁,高区/7层,朝南北,75153,1995年建
虹桥天都国际,1室0厅,59.85,长宁,中区/24层,朝南,49122,2006年建
维多利亚（公寓）,1室1厅,176.6,长宁,低区/23层,朝南,135900,
长宁馥邦苑,5室2厅,239,长宁,低区/14层,朝南北,54393,2007年建
佳信都市花园（公寓）,5室3厅,233.12,长宁,高区/16层,朝南北,77213,
虹梅路3800弄,4室2厅,143.7,长宁,中区/5层,朝南北,52192,1999年建
荣华西道99弄,1室1厅,79.97,长宁,低区/8层,,77529,1994年建
天星公寓（长宁）,5室3厅,365.81,长宁,低区/20层,朝南北,24056,
路易凯旋宫,2室2厅,97.54,长宁,低区/25层,朝南,92269,
家化小区,2室1厅,71.75,长宁,高区/7层,朝东南,53658,1997年建
新泾四村,2室1厅,58.04,长宁,高区/6层,朝南,62026,1991年建
虹仙小区,3室1厅,85.14,长宁,高区/6层,朝南,70472,1989年建
新泾三村,1室1厅,41,长宁,高区/6层,朝南,63414,1985年建
古北国际广场,2室2厅,93.76,长宁,中区/32层,朝南,101322,
番禺路222弄,2室1厅,64.72,长宁,高区/7层,朝南北,71847,1993年建
上城Uptown,2室2厅,116.67,长宁,高区/18层,朝南,81426,
广场大厦,3室2厅,126.86,长宁,低区/20层,朝西南,70944,
御翠豪庭,1室2厅,71.05,长宁,中区/28层,朝南,105559,
正力公寓,2室2厅,150.49,长宁,低区/18层,朝南,76417,2001年建
雅典花苑,3室2厅,144.75,长宁,中区/18层,朝西南,62176,
金钟小区,2室1厅,52.61,长宁,中区/6层,朝南北,57023,1995年建
法华镇路315弄,2室1厅,44.36,长宁,高区/7层,朝南北,85662,1992年建
鹿特丹花园,2室2厅,112.52,长宁,中区/11层,朝南,79985,
强生古北花园,2室2厅,136.6,长宁,中区/19层,朝南北,91508,
古北国际花园,1室1厅,71.34,长宁,低区/31层,朝东南,119147,
虹储小区,3室1厅,67,长宁,高区/6层,朝南北,67164,1984年建
古北国际广场,3室2厅,154.57,长宁,中区/29层,朝南北,97043,
威宁小区,1室1厅,39,长宁,高区/6层,朝南,74358,1991年建
安顺路231弄,1室1厅,42.74,长宁,高区/6层,朝南,70191,1980年建
虹延小区,1室1厅,40.36,长宁,高区/5层,,99108,1995年建
江苏路499弄,1室1厅,45.13,长宁,高区/7层,朝南,62042,1996年建
东湖小区,2室2厅,68.09,长宁,高区/6层,朝南,73432,1997年建
威宁小区,3室2厅,37.31,长宁,中区/6层,,192977,1990年建
民心小区,2室1厅,51.58,长宁,高区/6层,朝南,65917,1987年建
杜家宅小区,1室0厅,36.69,长宁,高区/6层,朝南,66775,1984年建
茅台花苑,2室1厅,78.16,长宁,低区/26层,朝南,58853,1993年建
嘉里华庭,3室2厅,145.98,长宁,中区/38层,朝东南,106178,
宁定大楼,2室1厅,62.54,长宁,高区/15层,朝东北,69555,
仙逸小区,2室1厅,46.86,长宁,低区/6层,朝南,66154,1985年建
新泾七村,1室0厅,33.36,长宁,高区/6层,朝南,65947,1990年建
天山小区,1室0厅,41.55,长宁,中区/6层,,69795,1958年建
新世纪广场,2室2厅,149.61,长宁,高区/19层,朝东南,53338,
雅典花苑,3室2厅,165.3,长宁,高区/18层,朝南北,65335,1996年建
镇宁路465弄,2室1厅,69.65,长宁,高区/13层,朝南,93323,1992年建
新华苑,2室2厅,93.34,长宁,中区/24层,朝西南,83565,1996年建
中园小区,1室0厅,37.06,长宁,中区/6层,朝南,72854,1984年建
泰荣苑,3室2厅,138.63,长宁,中区/30层,朝南,79347,
长虹公寓,2室2厅,94.3,长宁,高区/6层,朝南北,74231,1994年建
虹景花苑,3室2厅,170.53,长宁,中区/8层,朝南,87961,
天山河畔花园,4室2厅,163.43,长宁,高区/24层,朝南,89334,
仙逸小区,3室1厅,66,长宁,高区/6层,朝南,67424,1992年建
锦屏小区,1室0厅,34.14,长宁,高区/7层,朝南,70298,1985年建
芙蓉小区,3室1厅,67.15,长宁,低区/6层,朝南北,67758,1984年建
虹园八村,2室1厅,63.9,长宁,高区/6层,朝南,61032,1994年建
凯欣豪园,1室2厅,62.06,长宁,中区/36层,朝西南,120850,
淞虹苑,1室1厅,45.61,长宁,中区/6层,朝南,71256,1997年建
凯欣豪园,2室1厅,60.21,长宁,低区/36层,,109616,
嘉里华庭,2室2厅,137.05,长宁,中区/38层,朝西南,94855,
新泾五村,1室1厅,48,长宁,高区/6层,朝南,60416,1995年建
武夷花园,2室2厅,101.81,长宁,中区/18层,朝南,94293,
新衡公寓,3室2厅,97.55,长宁,低区/7层,朝南,73808,
虹桥小区,1室0厅,31.22,长宁,高区/6层,朝南,70467,1982年建
虹桥世家花园（公寓）,2室2厅,103.05,长宁,高区/14层,朝南,79573,
虹桥中山广场,3室2厅,132.27,长宁,高区/39层,朝南,71822,
虹桥馨苑,3室2厅,137.06,长宁,中区/22层,朝南北,80256,
西镇小区（长宁）,1室1厅,41.06,长宁,低区/7层,朝南,85241,1988年建
范东铁路小区,2室1厅,65.91,长宁,高区/6层,朝南,75557,1996年建
海厦小区,3室1厅,81.41,长宁,低区/8层,朝南北,73701,
新泾五村,3室1厅,76.43,长宁,高区/6层,朝南北,54952,1995年建
新泾三村,1室1厅,34.79,长宁,中区/6层,朝南,74734,
法华苑,2室2厅,121.14,长宁,高区/26层,朝北,78421,
佳达新苑,3室2厅,137.36,长宁,中区/17层,朝南北,72801,
上城Uptown,3室2厅,157.17,长宁,中区/22层,朝南北,76350,
大金更小区,2室1厅,65,长宁,高区/7层,朝南,64615,1990年建
中阳小区,2室1厅,58.14,长宁,中区/6层,朝南,77399,1987年建
金龙大厦,3室2厅,122.02,长宁,中区/24层,,73758,
御翠豪庭,1室2厅,70.62,长宁,低区/29层,朝南,101954,
凯欣豪园,2室2厅,118.06,长宁,低区/38层,朝东南,93172,
锦苑小区（长宁）,1室0厅,34.73,长宁,低区/6层,朝南,77742,1990年建
利西大楼,2室1厅,64.21,长宁,高区/16层,朝东,74754,
名光大厦,2室2厅,118.91,长宁,中区/24层,朝西,59709,
镇宁路465弄,1室0厅,30.83,长宁,低区/6层,朝南,84333,1983年建
金谷苑,2室1厅,65.15,长宁,低区/19层,朝东南,68303,1994年建
大家源新城,2室2厅,95.65,长宁,高区/25层,朝南,94093,
华馨小区,1室1厅,38.18,长宁,高区/5层,朝南,81194,1983年建
金都苑,3室2厅,142.08,长宁,高区/26层,,69679,1996年建
天申综合小区,2室2厅,87.5,长宁,高区/6层,朝南,75428,1999年建
碧夏小区,3室1厅,83.45,长宁,高区/6层,朝南北,62312,
皇家花园,3室2厅,139.23,长宁,中区/20层,朝西南,96961,
皇朝别墅,2室2厅,102.75,长宁,中区/4层,朝南,77858,1997年建
通协小区,2室1厅,75.99,长宁,高区/6层,朝南北,65798,2005年建
友力大厦,2室2厅,113.19,长宁,高区/31层,朝南,88347,
威宁小区,1室1厅,57.99,长宁,中区/7层,朝南,67252,1991年建
科宁公寓,1室1厅,45.66,长宁,中区/24层,朝南,70083,1991年建
虹日小区,1室0厅,38.72,长宁,高区/6层,朝南,68440,1986年建
新泾六村,1室1厅,46.03,长宁,高区/6层,朝南北,65174,1993年建
联建新村（长宁）,2室1厅,67.68,长宁,中区/5层,朝南,78309,
长中小区,3室1厅,68.24,长宁,高区/6层,朝南,72538,1988年建
玉屏小区,2室1厅,53.94,长宁,低区/7层,朝南北,68594,1989年建
金菊小区,2室1厅,59.79,长宁,高区/6层,朝南,63555,
嘉里华庭,2室2厅,137.05,长宁,高区/38层,朝南,99598,
延西小区,2室1厅,49.7,长宁,中区/6层,朝南北,80482,1989年建
花园村雅苑,2室2厅,117.77,长宁,低区/19层,朝南北,83213,
仙霞别墅,1室1厅,52.39,长宁,高区/6层,朝南,68715,1991年建
长芝大厦,2室2厅,107.49,长宁,中区/28层,朝西南,65122,1998年建
天山四村,1室0厅,35.5,长宁,低区/5层,朝南,78873,
王满小区,1室1厅,37,长宁,高区/5层,朝南,68108,1987年建
凯欣豪园,2室2厅,103,长宁,低区/20层,朝南,106796,
华馨小区,1室1厅,45.7,长宁,中区/6层,朝南,72210,1986年建
大华公寓（长宁）,2室1厅,60.2,长宁,低区/9层,朝南,63122,1988年建
长江小区,2室1厅,47.44,长宁,高区/6层,朝南,84317,1995年建
锦苑小区（长宁）,2室1厅,53.7,长宁,高区/6层,朝南,74487,1990年建
天悦小区,2室1厅,55.31,长宁,低区/6层,朝南,84975,1978年建
长宁路1600弄,2室0厅,59.8,长宁,高区/7层,朝南,64381,1989年建
虹桥世家花园（公寓）,3室2厅,153.29,长宁,中区/18层,朝南,65235,
瑞冬小区,2室1厅,72,长宁,高区/6层,朝南,61111,
海富公寓,2室2厅,95.75,长宁,低区/24层,,73107,1998年建
强生古北花园,4室5厅,289.81,长宁,高区/26层,朝南北,89713,
天山五村（旧）,2室1厅,59.19,长宁,低区/6层,朝南,77715,1966年建
衡辰公寓,1室1厅,58.24,长宁,中区/18层,朝南,85851,
古北国际花园,2室2厅,106.36,长宁,中区/20层,朝南,117525,
铭晖西郊苑,3室2厅,128.96,长宁,中区/6层,朝南北,62810,2000年建
嘉利豪园,3室2厅,131,长宁,中区/17层,朝南北,80152,2003年建
御翠豪庭,1室2厅,71.05,长宁,高区/28层,朝南,115411,
嘉里华庭,2室2厅,137.05,长宁,低区/38层,朝西南,91207,
华电小区,2室1厅,66.9,长宁,高区/6层,朝南,71748,1986年建
兆丰嘉园,3室2厅,157.99,长宁,中区/33层,朝,91777,2004年建
新泾二村,2室0厅,52.3,长宁,低区/6层,朝南,68833,1985年建
河风丽景,4室2厅,193.54,长宁,高区/18层,朝南北,75023,
正力公寓,3室2厅,144.51,长宁,中区/18层,朝南,83039,2001年建
沁秋小区,3室1厅,73.95,长宁,高区/6层,朝南,60851,1995年建
延安西路489弄,1室1厅,40.65,长宁,高区/6层,朝南,94710,1990年建
荣轩,2室2厅,103.43,长宁,中区/30层,朝东北,86048,
天山河畔花园,2室2厅,109.14,长宁,高区/28层,朝南,87960,
欣绿小区,1室1厅,48.59,长宁,高区/6层,朝南,69973,1980年建
浦江大厦,2室2厅,117.18,长宁,低区/34层,朝南,56323,1997年建
联建新村（长宁）,2室1厅,32.59,长宁,低区/3层,朝南,98189,
凯欣豪园,2室2厅,118.06,长宁,低区/38层,朝南北,87243,
虹东小区,2室1厅,71.6,长宁,高区/25层,朝东南,69134,1990年建
安顺路271号,2室0厅,44.35,长宁,高区/6层,朝南,78917,
万航小区,2室1厅,78.81,长宁,中区/25层,朝西南,68519,1995年建
威宁花苑,3室2厅,133.48,长宁,中区/5层,朝南北,84656,2001年建
家电大楼,2室1厅,56.68,长宁,低区/15层,朝北,58927,1988年建
凯欣豪园,2室2厅,96.58,长宁,低区/38层,朝南,91944,
兆丰嘉园,3室2厅,170.97,长宁,低区/33层,朝南北,90659,2004年建
华江大楼,1室1厅,59.87,长宁,低区/19层,朝东,65976,1990年建
虹南小区,1室1厅,46.87,长宁,低区/6层,朝南,66140,1991年建
淞虹苑,2室2厅,89.33,长宁,中区/6层,朝南北,75002,2000年建
紫虹大厦,3室2厅,136.56,长宁,低区/29层,朝东,62243,1996年建
陶安小区,2室1厅,61,长宁,低区/6层,朝南北,86557,1992年建
古北国际广场,3室2厅,153.28,长宁,中区/31层,朝南北,96555,
华山花苑,2室1厅,80.5,长宁,低区/26层,朝西南,74534,
江华机电大楼,2室0厅,51.93,长宁,高区/18层,朝东北,105911,1988年建
金色贝拉维,3室2厅,159.09,长宁,低区/18层,朝南,100572,
虹景家苑,3室2厅,145.66,长宁,中区/17层,朝南北,78950,
天原二村,2室0厅,48.14,长宁,高区/6层,朝南,72704,1980年建
尚泰里,2室2厅,87.35,长宁,中区/29层,朝东北,80137,1997年建
长虹小区,1室1厅,37.47,长宁,低区/6层,朝南,93408,1985年建
虹景小区,2室0厅,56.7,长宁,低区/6层,朝南,71428,1997年建
天山二村,1室0厅,32.57,长宁,中区/6层,朝南,104390,
畅园,2室2厅,133.77,长宁,中区/38层,朝南,97181,
古宋小区,2室1厅,55.32,长宁,中区/6层,朝南,81344,1989年建
天山商厦,3室2厅,160.32,长宁,中区/30层,朝东北,56137,1997年建
衡辰公寓,1室1厅,58.24,长宁,低区/18层,朝南,87568,
太阳广场,2室2厅,136.87,长宁,中区/29层,朝南,47490,
锦程小区,1室1厅,59.46,长宁,高区/6层,朝东南,50117,
西郊家园（长宁）,4室2厅,159.05,长宁,低区/15层,朝南,53442,
友谊小区,3室0厅,62.69,长宁,高区/6层,朝南北,60615,1982年建
西郊家园（长宁）,3室2厅,137.23,长宁,低区/15层,朝南,58296,
西诸安浜路435弄,2室1厅,45.66,长宁,中区/5层,朝南北,76653,1990年建
四季晶园,3室2厅,140.89,长宁,高区/18层,朝南,85172,
申亚新华府,3室2厅,189.59,长宁,高区/30层,朝南北,80173,
新衡公寓,2室2厅,107.05,长宁,高区/18层,朝西南,69126,
仁恒河滨花园,4室2厅,241.27,长宁,高区/31层,朝西南,103618,
宣化路268弄,2室1厅,58.89,长宁,低区/7层,朝南北,102733,1985年建
镇宁路405弄,2室0厅,56.78,长宁,高区/7层,朝东,62522,1992年建
长新小区（长宁）,1室0厅,31.32,长宁,低区/6层,朝西南,86206,1985年建
绿地公寓（长宁）,3室2厅,128.52,长宁,高区/5层,朝南北,66137,2003年建
金色贝拉维,3室2厅,158.47,长宁,低区/20层,朝南北,97810,
宣化路268弄,1室1厅,40.05,长宁,中区/7层,朝南,108614,1985年建
华秀小区,1室1厅,30.78,长宁,低区/7层,朝东,123456,
御翠豪庭,1室2厅,82.31,长宁,中区/29层,朝南北,109342,
淞虹苑,1室1厅,45.62,长宁,低区/4层,朝南,72336,1997年建
南辉小区,1室1厅,41.48,长宁,高区/6层,朝南北,108486,1994年建
佳信都市花园（公寓）,2室2厅,126.65,长宁,中区/14层,朝东,78957,
古北国际花园,1室2厅,75.89,长宁,高区/31层,朝西南,112004,
御翠豪庭,1室1厅,71.05,长宁,低区/28层,朝南,115411,
新华御庭,4室2厅,302.05,长宁,中区/29层,朝南北,80052,2005年建
番禺路180弄,2室1厅,48.15,长宁,中区/5层,朝南北,87227,1980年建
镇宁路405弄,2室0厅,56.78,长宁,高区/7层,朝东,73969,1992年建
天山五村（旧）,2室0厅,47.29,长宁,高区/6层,朝南,77183,1982年建
虹景家苑,3室2厅,145.33,长宁,中区/16层,朝南北,82570,
佳信都市花园（公寓）,3室2厅,144.44,长宁,低区/14层,朝东,83079,
延安西路1746号,1室0厅,29.94,长宁,中区/6层,朝南,76820,1966年建
新光小区,1室1厅,55.1,长宁,低区/6层,朝南,90744,1988年建
淞虹公寓,1室1厅,52.44,长宁,高区/7层,朝南,62929,1998年建
明珠大楼,4室2厅,194.01,长宁,中区/21层,朝西南,44843,1994年建
皇家花园,5室2厅,298.05,长宁,高区/37层,朝南北,93943,
丁香公寓,3室2厅,177,长宁,中区/31层,朝南,112994,
天山河畔花园,4室2厅,226.24,长宁,低区/28层,朝南北,69837,
嘉里华庭,4室3厅,334.84,长宁,高区/38层,朝东南,100943,
虹一小区,2室1厅,51,长宁,高区/6层,朝南北,68627,1978年建
凯欣豪园,1室1厅,64.54,长宁,低区/35层,朝南,100712,
凯欣豪园,2室2厅,112.7,长宁,高区/20层,朝南,100000,
番禺大厦,3室2厅,163.44,长宁,高区/29层,朝西南,61184,
华松小区,2室1厅,81.65,长宁,高区/6层,朝南,51439,1995年建
福泉苑,2室2厅,89,长宁,低区/6层,朝南北,65168,
定西路1564弄,1室0厅,39.34,长宁,高区/5层,朝西南,106761,1976年建
新泾八村,3室2厅,134.31,长宁,低区/6层,朝南北,65520,2000年建
锦绣花园,3室2厅,114.84,长宁,中区/18层,朝东北,62695,1994年建
西镇小区（长宁）,2室1厅,51.34,长宁,高区/7层,朝南北,70120,1989年建
武定大厦,3室2厅,174.81,长宁,高区/24层,朝南,54344,
绿园四村,2室2厅,89.69,长宁,高区/6层,朝南北,50172,1998年建
樱源晶舍,2室2厅,100.29,长宁,低区/13层,朝南,63814,
兴联大厦,4室2厅,248.43,长宁,高区/25层,朝南,60379,
西郊紫薇花园,3室2厅,137.6,长宁,低区/10层,朝南北,105377,2015年建
威宁小区,2室1厅,76.66,长宁,低区/7层,朝南北,65223,1991年建
古北瑞仕花园,2室2厅,125.61,长宁,高区/28层,朝南北,109863,
